l_id,phase,priority,depends_on,goal_title,codex_goal_prompt,acceptance_criteria,validation_command,expected_artifacts,files_to_inspect_or_create,safety_constraints
G00,master,P0,,Build end-to-end tennis robot simulation,Implement or repair a complete simulation-first tennis recognition and robot interception system. Start by auditing the repository and environment; then make a minimal runnable closed loop: synthetic tennis ball video or simulator -> detector -> trajectory and landing-point estimator -> robot planner/controller -> IMU-aided localization -> visualization/logging -> tests and README. Keep changes incremental and safe; prefer existing project structure; create missing modules only when needed; leave clear TODOs only for real hardware integration.,A single smoke-test command runs the full simulated closed loop without hardware; it prints predicted landing point and robot final pose; generated plots or overlay video are saved under outputs/; tests pass or documented known failures are isolated.,python -m tennis_robot_sim.run_sim --scenario default --no-hardware --output outputs/smoke || python scripts/run_sim.py --scenario default --no-hardware,outputs/smoke/*; README_simulation.md; environment_report.md; tests/*,entire repository; README*; environment.yml; requirements*.txt; pyproject.toml; setup.py; src/; sim/; scripts/; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G01,repo_env,P0,,Synchronize repo safely and inventory project,"Inspect the git repository state and project layout. Run git status, branch, remote, and log summary. If the repo is clean, run git pull --ff-only. If there are local changes, do not overwrite them; record them in environment_report.md and continue with read-only inventory. Identify README, entry points, dependency files, source packages, hardware-control files, and missing modules relevant to tennis detection, trajectory prediction, robot control, and IMU.","environment_report.md contains git status, branch, remotes, latest commit, pull result or reason skipped, tree summary, detected Python entry points, and risk notes for hardware code.",git status --short && git branch --show-current && git remote -v && find . -maxdepth 3 -type f | sed 's#^./##' | sort | head -300,environment_report.md,.git/; README*; environment.yml; requirements*.txt; pyproject.toml; setup.py; src/; scripts/,"Never use git reset, git clean, or overwrite uncommitted files. If pull conflicts occur, stop and document them."
G02,repo_env,P0,G01,Repair conda environment bootstrap,"Make the Python environment reproducible. Inspect environment.yml, requirements.txt, pyproject.toml, setup.py, and import errors. Create scripts/setup_env.sh that creates or updates a conda env named tennis-robot-sim when possible. Prefer Python 3.10 or the project-specified version. Install editable package if pyproject/setup exists. Add a small scripts/check_env.py that imports cv2, numpy, scipy, matplotlib, yaml, torch if present, and project modules without crashing. Record CPU/GPU/Jetson/CUDA availability but do not require GPU for simulation.","scripts/setup_env.sh and scripts/check_env.py exist; check_env.py prints OK for core simulation dependencies; environment_report.md lists exact Python, conda, pip, CUDA, and package versions.",bash scripts/setup_env.sh || true; python scripts/check_env.py,scripts/setup_env.sh; scripts/check_env.py; environment_report.md,environment.yml; requirements.txt; requirements-dev.txt; pyproject.toml; setup.py; scripts/,Do not uninstall user packages globally. Do not require sudo. Keep CPU-only fallback working.
G03,repo_env,P0,G02,Normalize package layout and imports,"Ensure the project can be imported consistently. Detect whether code lives under src/, root packages, or scripts. Add minimal __init__.py files only where appropriate. Create a package namespace tennis_robot_sim if no clear package exists, otherwise adapt to the existing package. Add a lightweight module tennis_robot_sim.health with a health_check() function returning dependency and platform info.","python -c 'import tennis_robot_sim; from tennis_robot_sim.health import health_check; print(health_check())' succeeds, or equivalent existing package import is documented in environment_report.md.","python -c ""import tennis_robot_sim; from tennis_robot_sim.health import health_check; print(health_check())""",tennis_robot_sim/health.py or src/tennis_robot_sim/health.py,src/; tennis_robot_sim/; scripts/; tests/,Minimize renames. Preserve existing APIs. Avoid moving hardware files unless tests prove imports require it.
G04,config,P0,G03,Add central YAML configuration,"Create a central config system for simulation parameters. Add configs/default_sim.yaml with camera intrinsics/extrinsics, tennis ball color thresholds, ball radius, gravity, bounce coefficient, court dimensions, robot kinematics, controller gains, IMU noise parameters, logging paths, and safety limits. Add tennis_robot_sim.config.load_config(path=None) that validates required keys and supplies defaults.","load_config() returns a dict/dataclass with required sections: camera, detector, ball, court, robot, controller, imu, sim, logging, safety; missing optional keys receive defaults; invalid configs raise clear errors.","python -c ""from tennis_robot_sim.config import load_config; cfg=load_config(); print(cfg.keys() if hasattr(cfg,'keys') else cfg)""",configs/default_sim.yaml; tennis_robot_sim/config.py,configs/; tennis_robot_sim/config.py; tests/test_config.py,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G05,simulation,P0,G04,Implement synthetic tennis ball and court simulator,"Implement a deterministic simulation of tennis ball flight on a simple court. Add tennis_robot_sim.sim.ball with projectile motion under gravity, optional bounce, and landing-point ground intersection. Add tennis_robot_sim.sim.scenario with seeded scenarios: default, high_lob, fast_cross, noisy_camera. The simulator should output time, 3D ball position, and ground-truth landing point.","A default scenario produces at least 60 time steps, a plausible landing point on the court plane, and deterministic output with the same seed. Unit tests verify gravity, landing calculation, and bounce behavior within tolerance.",python -m pytest tests/test_ball_sim.py -q,tennis_robot_sim/sim/ball.py; tennis_robot_sim/sim/scenario.py; tests/test_ball_sim.py,tennis_robot_sim/sim/; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G06,simulation,P0,G05,Implement camera projection and synthetic frame renderer,"Add a pinhole camera model and renderer. Implement world_to_pixel, pixel_to_ground_ray or homography helper, and render synthetic frames with a green/yellow tennis ball on a court-like background. The renderer should optionally add blur, occlusion, and noise. Save frames or video under outputs/synthetic/ for debugging.",A script or module can render a short synthetic sequence; projected ball centers stay inside frame for default scenario; tests check projection shapes and inverse ground mapping.,python -m pytest tests/test_camera_sim.py -q; python -m tennis_robot_sim.tools.render_synthetic --frames 30 --output outputs/synthetic/default.mp4 || true,tennis_robot_sim/sim/camera.py; tennis_robot_sim/sim/render.py; tennis_robot_sim/tools/render_synthetic.py; tests/test_camera_sim.py,tennis_robot_sim/sim/; tennis_robot_sim/tools/; outputs/synthetic/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G07,perception,P0,G06,Implement baseline tennis ball detector,"Implement a robust baseline detector for synthetic and simple real videos. Add tennis_robot_sim.perception.detector with a Detector interface and ColorBallDetector using HSV color threshold, morphology, contour filtering, circularity, radius limits, and confidence. Return detections with frame_id, timestamp, center_px, radius_px, confidence. Include a model-adapter stub for future neural detector but keep baseline CPU-only.",Detector finds the synthetic tennis ball in at least 90 percent of default frames; false detections are filtered by area/radius; output schema is documented and tested.,python -m pytest tests/test_detector.py -q,tennis_robot_sim/perception/detector.py; tests/test_detector.py,tennis_robot_sim/perception/; tests/,Do not download large model weights unless explicitly configured. Baseline must run CPU-only.
G08,perception,P1,G07,Add tracking and smoothing,"Add tennis_robot_sim.perception.tracker with a simple constant-velocity Kalman filter or exponential smoother for ball pixel tracks. It should accept detections, handle missing frames, reject outliers, and output smoothed center_px plus velocity_px_s and confidence. Keep implementation dependency-light using numpy/scipy only.","Tracker reduces jitter on noisy synthetic detections; handles at least 5 consecutive missing detections without crashing; tests cover update, predict, and outlier rejection.",python -m pytest tests/test_tracker.py -q,tennis_robot_sim/perception/tracker.py; tests/test_tracker.py,tennis_robot_sim/perception/; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G09,estimation,P0,"G06,G07",Map image detections to world rays or ground coordinates,"Implement tennis_robot_sim.estimation.geometry to convert detections into camera rays and approximate ground-plane coordinates using camera config. Provide helpers for homography-based pixel_to_ground if available, and ray-plane intersection otherwise. Include calibration placeholders and clear assumptions.","Given known synthetic camera parameters, converting projected ground points back to world ground coordinates is accurate within a small tolerance. Tests pass for center and corner points.",python -m pytest tests/test_geometry.py -q,tennis_robot_sim/estimation/geometry.py; tests/test_geometry.py,tennis_robot_sim/estimation/; configs/default_sim.yaml; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
